FIELD1,ds,yhat_lower,yhat_upper,yhat
126,1989-07-19,-3263.5980937778427,4714.410363051488,640.5372480886059
127,1989-07-20,-3527.2918064019073,4851.486078025867,675.4302603075241
128,1989-07-21,-3359.20075933951,4818.6793648096855,647.1524373532353
129,1989-07-25,-3298.1084984443587,4792.135721516699,710.6138824604626
130,1989-07-26,-3727.9152216434727,4503.207012713968,705.8216430816661
131,1989-07-27,-3441.5384525433956,4874.433094292636,735.0143513066432
132,1989-07-28,-3478.9582257992392,4572.098244626396,701.1458628300477
133,1989-08-01,-3372.648417107093,4921.1116936586195,744.3294057935486
134,1989-08-02,-3136.6441035629664,4907.5839454708275,735.1762315919472
135,1989-08-03,-3304.8111651711456,4904.751456071104,760.3436758583117
136,1989-08-04,-3469.4250236025396,4522.913561091242,722.8015378789212
137,1989-08-07,-3279.560081608254,4988.761978264031,747.4257617581268
138,1989-08-08,-3370.416038672141,4825.325029116917,754.9659310635434
139,1989-08-09,-3488.8258907280797,4524.237482443671,743.9854734645585
140,1989-08-10,-3402.779222837535,5058.163122765297,767.6908749758655
141,1989-08-14,-3164.933516008449,4709.366545109848,752.4369585985705
142,1989-08-17,-3407.1599878202333,4752.461760757991,774.3736859012433
143,1989-08-18,-3409.6863785004884,5018.135805196958,736.8742418320305
144,1989-08-21,-3463.9658584059625,4802.14282311403,765.2384796946546
145,1989-08-22,-3150.2690972396517,5008.984981137857,775.1277196109914
146,1989-08-23,-3228.9057486409897,5002.577002823888,766.9868742056083
147,1989-08-28,-3295.93053279202,4878.6317266173655,795.3041248693224
148,1989-08-29,-3275.872731542739,4980.821728524813,807.7872700497389
149,1989-08-30,-3405.923804392276,4967.8449915955935,802.1388081959407
150,1989-08-31,-3322.306221086443,5108.83599419391,831.4725953821385
151,1989-09-01,-3622.334199023136,4735.169842370151,798.6542350831085
152,1989-09-06,-3207.419742694319,5173.133884829035,847.8100924955245
153,1989-09-07,-3555.6790350580723,4867.3993287593075,877.1366098515315
154,1989-09-08,-2951.8014230120334,4913.4496388765965,843.8376413590581
155,1989-09-11,-3356.0117783093992,5061.504493528601,880.4700718972581
156,1989-09-12,-3366.6487639545057,5174.46023530582,891.3910975672195
157,1989-09-13,-3259.643485673807,4862.415279688426,883.3093322808347
158,1989-09-14,-3308.026295721877,5007.132749394791,909.3434038034593
159,1989-09-15,-3391.245636797314,5516.0371752456,872.3808760430412
160,1989-09-18,-3150.3715546057633,5229.26224181463,896.378307201655
161,1989-09-19,-3215.364799791711,5176.055885321596,902.7719511021025
162,1989-09-20,-3094.435720532456,4934.998547301434,890.1357361668569
163,1989-09-21,-3260.267517883088,5332.109019054678,911.6722316445939
164,1989-09-22,-3301.318789333767,4828.155103028115,870.3541000686835
165,1989-09-25,-3288.639857025502,4959.65274876402,882.9643289565846
166,1989-09-26,-3118.8147370101324,5078.037245174062,886.3766080534681
167,1989-09-27,-3035.8313848181356,5108.410402473224,871.2761284346022
168,1989-09-28,-3460.8248974870003,4845.002906087539,890.9173536090778
169,1989-09-29,-3055.5199659727195,4652.172669939116,848.3133646657753
170,1989-10-03,-3141.418725115017,4914.070576992009,865.6348409000192
171,1989-10-04,-3073.713765332426,4935.843891476127,852.4336148819773
172,1989-10-05,-3346.0853181901143,4765.232640342216,874.5398005173683
173,1989-10-06,-3311.517101851866,4961.191127555028,834.9108804540124
174,1989-10-09,-3163.002223167809,5022.410874407624,858.7896986028379
175,1989-10-11,-3325.054128349795,5004.995418665325,858.8695692835593
176,1989-10-12,-2959.576707490816,5377.965973876781,885.2953418712207
177,1989-10-13,-3079.204218321519,4904.673762687287,849.873418663758
178,1989-10-16,-3234.487473194293,5276.711687723328,884.7543748486161
179,1989-10-17,-3478.11873889745,4778.008826259422,896.5503990785221
180,1989-10-18,-3218.201494953195,4961.9693659351815,890.0031540768408
181,1989-10-19,-2991.3983465490714,5283.718209040837,918.1734134687642
182,1989-10-20,-3161.8539989921533,5051.483428563152,883.8819120242114
183,1989-10-23,-3185.7994588486067,5509.543242729846,918.3284113533286
184,1989-10-24,-3173.463128233611,5084.256219166847,928.735408436797
185,1989-10-25,-3305.2776723930215,4750.633669650472,920.2306395422863
186,1989-10-26,-3259.0523997006057,5163.155108438541,945.9281875870788
187,1989-10-29,-3885.5540937022265,4940.772594376548,566.9785313594654
188,1989-10-31,-3042.845487593885,5079.600477505938,939.0162186218585
189,1989-11-01,-3578.160933777412,4815.246406024829,926.6157465871377
190,1989-11-02,-2828.433003230592,4962.11952689507,948.503533889042
191,1989-11-03,-3103.1955890191684,5011.9872509743245,907.6563014325028
192,1989-11-06,-2970.60622025864,4966.104014888561,922.3936063481312
193,1989-11-07,-3050.9641057008384,4861.593767803392,926.7322611424373
194,1989-11-08,-3071.3021053501866,5097.821453273279,912.6446788401649
195,1989-11-09,-3176.298961645778,4724.534688027961,933.3642881952962
196,1989-11-10,-3409.5590099000156,4907.845896450802,891.8778844454117
