ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2007-07-17,14480.61375376905,10358.880607537754,18643.187761820474,14480.61375376905,14480.61375376905,38.71221750126027,38.71221750126027,38.71221750126027,61.63698013317716,61.63698013317716,61.63698013317716,-22.92476263191689,-22.92476263191689,-22.92476263191689,0.0,0.0,0.0,14519.325971270311
2007-07-18,14483.814906913183,10481.167877584816,18593.18778501138,14483.814906913183,14483.814906913183,39.277208259333804,39.277208259333804,39.277208259333804,49.97022283148085,49.97022283148085,49.97022283148085,-10.693014572147042,-10.693014572147042,-10.693014572147042,0.0,0.0,0.0,14523.092115172518
2007-07-19,14487.016060057316,10187.839665742116,18434.318380593628,14487.016060057316,14487.016060057316,73.83624766706615,73.83624766706615,73.83624766706615,73.04491321769876,73.04491321769876,73.04491321769876,0.7913344493673774,0.7913344493673774,0.7913344493673774,0.0,0.0,0.0,14560.852307724383
2007-07-20,14490.217213201446,10338.449888445306,18798.39123109851,14490.217213201446,14490.217213201446,45.263697328228716,45.263697328228716,45.263697328228716,33.776805490777164,33.776805490777164,33.776805490777164,11.486891837451559,11.486891837451559,11.486891837451559,0.0,0.0,0.0,14535.480910529674
2007-07-23,14499.820672633841,10487.595422112696,18780.784818491553,14499.820672633841,14499.820672633841,93.49561576345315,93.49561576345315,93.49561576345315,54.88796756618585,54.88796756618585,54.88796756618585,38.6076481972673,38.6076481972673,38.6076481972673,0.0,0.0,0.0,14593.316288397295
2007-07-24,14503.02182577797,10184.068116895729,19174.46396493644,14503.02182577797,14503.02182577797,107.60782237942344,107.60782237942344,107.60782237942344,61.63698013331112,61.63698013331112,61.63698013331112,45.970842246112326,45.970842246112326,45.970842246112326,0.0,0.0,0.0,14610.629648157394
2007-07-25,14506.2229789221,10357.960181142327,18340.358658852783,14506.2229789221,14506.2229789221,102.4800321233534,102.4800321233534,102.4800321233534,49.97022283124186,49.97022283124186,49.97022283124186,52.50980929211154,52.50980929211154,52.50980929211154,0.0,0.0,0.0,14608.703011045454
2007-07-26,14509.424132066233,10572.44048544823,18849.241366972707,14509.424132066233,14509.424132066233,131.29118295203426,131.29118295203426,131.29118295203426,73.0449132179305,73.0449132179305,73.0449132179305,58.246269734103784,58.246269734103784,58.246269734103784,0.0,0.0,0.0,14640.715315018268
2007-07-27,14512.625285210364,10411.069523444206,18801.226512503552,14512.625285210364,14512.625285210364,96.986084326598,96.986084326598,96.986084326598,33.77680549062995,33.77680549062995,33.77680549062995,63.20927883596808,63.20927883596808,63.20927883596808,0.0,0.0,0.0,14609.611369536962
2007-07-30,14522.228744642756,10290.02334456341,18674.36189603973,14522.228744642756,14522.228744642756,128.7243231605116,128.7243231605116,128.7243231605116,54.88796756616809,54.88796756616809,54.88796756616809,73.8363555943435,73.8363555943435,73.8363555943435,0.0,0.0,0.0,14650.953067803268
2007-07-31,14525.42989778689,10693.083149887783,19191.041713391223,14525.42989778689,14525.42989778689,137.74369703538792,137.74369703538792,137.74369703538792,61.63698013281107,61.63698013281107,61.63698013281107,76.10671690257685,76.10671690257685,76.10671690257685,0.0,0.0,0.0,14663.173594822278
2007-08-01,14528.631050931015,10848.971563590854,19020.531109164458,14528.631050931015,14528.631050931015,127.79359280033944,127.79359280033944,127.79359280033944,49.970222831002864,49.970222831002864,49.970222831002864,77.82336996933657,77.82336996933657,77.82336996933657,0.0,0.0,0.0,14656.424643731354
